"","x"
"1149","Stephen Cooper"
"1150","Stephen Elop"
"1151","Stephen Hester"
"1152","Stephen Holmes"
"1153","Stephen Lam"
"1154","Stephen Odell"
"1155","Stephen Roach"
"1156","Stephen Sadove"
"1157","Stephen Schwarzman"
"1158","Stephenson"
"1159","Stern"
"1160","Steve Ballmer"
"1161","Steve Ballmer "
"1162","Steve Ballmers"
"1163","Steve Burke"
"1164","Steve Caldeira"
"1165","Steve Cannon"
"1166","Steve Cohen"
"1167","Steve Cohens"
"1168","Steve Ells"
"1169","Steve Graham"
"1170","Steve Jobs"
"1171","Steve Ketchum"
"1172","Steve Sanghi"
"1173","Steve Sather"
"1174","Steve Schmitz"
"1175","Steve Schwarzman"
"1176","Steve Wynn"
"1177","Steven Holliday"
"1178","Steven Jacobs"
"1179","Steven Mollenkopf"
"1180","Steven Steve"
"1181","Strauss Zelnick"
"1182","Stuart Gulliver"
"1183","Stuart Miler"
"1184","Stuart Miller"
"1185","Stumpf"
"1186","Suleyman Aslan"
"1187","Sullivan"
"1188","Summit Xi"
"1189","Susan Wojcicki"
"1190","Swanson"
"1191","Takanobu Ito"
"1192","Takeshi Minami"
"1193","Tan"
"1194","Ted Leonsis"
"1195","Ted Marlow"
"1196","Terence Kawaja"
"1197","Terry Lundgren"
"1198","Terry Semel"
"1199","The Boeing"
"1200","The Corcoran"
"1201","The Depository"
"1202","The Le"
"1203","The Madison"
"1204","The New"
"1205","The Williams"
"1206","Thomas Campbell"
"1207","Thomas Hughes"
"1208","Thomas Johnson"
"1209","Thomas Jones"
"1210","Thomas Prendergast"
"1211","Thor Halvorssen"
"1212","Thorsten Heins"
"1213","Thorsten Heinsa"
"1214","Tilman Fertitta"
"1215","Tim  Cook"
"1216","Tim Adams"
"1217","Tim Armstrong"
"1218","Tim Clark"
"1219","Tim Cook"
"1220","Tim Cooka"
"1221","Tim Cooks"
"1222","Tim Leuliette"
"1223","Tim Mrock"
"1224","Tim Zagat"
"1225","Time Cook"
"1226","Time Leuliette"
"1227","Timothy J. Mayopoulos"
"1228","Tishman Speyer"
"1229","Today The"
"1230","Todd Builione"
"1231","Todd Davis"
"1232","Todd Pedersen"
"1233","Todd Ruppert"
"1234","Tom Daley"
"1235","Tom Dean"
"1236","Tom Enders"
"1237","Tom Freston"
"1238","Tom Gage"
"1239","Tom Gutierrez"
"1240","Tom Horton"
"1241","Tom Joyce"
"1242","Tom La"
"1243","Tom LaSorda"
"1244","Tom Long"
"1245","Tom Werner"
"1246","Tony  Posawatz"
"1247","Tony Fadell"
"1248","Tony Fernandes"
"1249","Tony Posawatz"
"1250","Torsten M™ller"
"1251","Torsten Mfcllerd"
"1252","Torsten Mueller"
"1253","Toyoda"
"1254","Travis Kalanick"
"1255","Travis Tygart"
"1256","Turney"
"1257","Umberto Vergine"
"1258","Under Botins"
"1259","Under Niederauer"
"1260","Under Sechin"
"1261","Van Houten"
"1262","Viacom Inc"
"1263","Vic Neufeld"
"1264","Vicent Viola"
"1265","Victor Luis"
"1266","Vikram Pandit"
"1267","Vikram Pandits"
"1268","Vince Mc"
"1269","Vince McMahon"
"1270","Virginia Ginni"
"1271","Virginia Rometty"
"1272","Vitor Bento"
"1273","Vornado Realty"
"1274","W. James McNerney Jr."
"1275","Walt Bettinger"
"1276","Walter E Robb"
"1277","Walter W. Bettinger"
"1278","Warner"
"1279","Warren Buffet"
"1280","Warren Buffett"
"1281","Watson"
"1282","Wayne La"
"1283","Wayne LaPierre"
"1284","Weiner"
"1285","Weld North"
"1286","Wesley G. Bush"
"1287","White"
"1288","Whitman"
"1289","Wilbur Ross"
"1290","William Conway"
"1291","William Lovette"
"1292","William Ruprecht"
"1293","William Stanley"
"1294","Wong"
"1295","Wong Chin"
"1296","Woodman"
"1297","Wren"
"1298","Wu Qingyong"
"1299","Wyatt"
"1300","Wynn"
"1301","Xerox Corporation"
"1302","Yan Changzai"
"1303","Yanai"
"1304","Yang Yuanqing"
"1305","Yihong Chen"
"1306","Yishan Wong"
"1307","Zhengfei"
"1308","Zuckerman"
