"","x"
"265","David Marcus"
"266","David Miller"
"267","David Murdock"
"268","David Novak"
"269","David Pyott"
"270","David Reis"
"271","David Sadigh"
"272","David Tepper"
"273","David Thodey"
"274","David Zier"
"275","Davis"
"276","Dear Twitch"
"277","Deborah Wright"
"278","Dekkers Davidson"
"279","Dekkers Davidsona"
"280","Dennis Crowley"
"281","Dennis Koslowski"
"282","Dennis Kozlowski"
"283","Dick Costolo"
"284","Dick Costoloa"
"285","Dick Costolos"
"286","Dick Fisher"
"287","Dick Fuld"
"288","Dick Grasso"
"289","Dick Handler"
"290","Dick Weil"
"291","Dietrich Mateschitz"
"292","Disclosure Jeff"
"293","Disney Zuckerberg"
"294","Divya Narendra"
"295","Doctoroff"
"296","Doesnt Think"
"297","Dolan"
"298","Don Basile"
"299","Don Baur"
"300","Don Brandt"
"301","Don Doctoroff"
"302","Don Graunstadt"
"303","Don Mattrick"
"304","Don Thompson"
"305","Don Wood"
"306","Donahoe"
"307","Donald H. Layton"
"308","Donald Thompson"
"309","Donald Thomson"
"310","Donald Tomnitz"
"311","Doug Ewert"
"312","Doug Hodge"
"313","Doug Mc"
"314","Doug McMillon"
"315","Doug Oberhelman"
"316","Doug Parker"
"317","Doug Yearly"
"318","Douglas Hodge"
"319","Douglas M. Hodge"
"320","Douglas Mc"
"321","Douglas McMillon"
"322","Douglas Oberhelman"
"323","Douglas Wolford"
"324","Douglas Yeardley"
"325","Dov Charney"
"326","Dov Charneya"
"327","Dr Michael"
"328","Drew Altman"
"329","Drew Horter"
"330","Drew Houston"
"331","Duncan Niederauer"
"332","Dustin Moskovitz"
"333","Dwaine van Vuuren"
"334","Echevarria"
"335","Economic Outlook"
"336","Ed Stack"
"337","Ed Whitacre"
"338","Eddie Lampert"
"339","Eddie Lamperts"
"340","Edelman"
"341","Edelman Joel"
"342","Edward Breen"
"343","Edward Lampert"
"344","Edward Lamperts"
"345","Edward Stack"
"346","Eike Batista"
"347","Eldar Saetre"
"348","Elizabeth Holmes"
"349","Ells"
"350","Elon Musk"
"351","Elon Muska"
"352","Elon Musks"
"353","Emblem Health"
"354","Emil Brolick"
"355","Emilio Lozoya"
"356","Emilio Lozoyo"
"357","Enrico Cavatorta"
"358","Enrique Salem"
"359","Eric  Hunsader"
"360","Eric Hunsader"
"361","Eric Major"
"362","Eric S. Rosengren"
"363","Eric Schatzker"
"364","Eric Schmidt"
"365","Eric Smith"
"366","Erik Haugane"
"367","Ev Williams"
"368","Eva Moskowitz"
"369","Evan Ev"
"370","Evan Williams"
"371","Fabrice Bre"
"372","Fadell"
"373","Farr"
"374","Federal Reserve"
"375","Fink"
"376","First Eagle"
"377","Fishman"
"378","For Misconduct"
"379","Forest City"
"380","Founding First"
"381","Frank Addante"
"382","Frank Bennack"
"383","Frank Bennack Jr."
"384","Frank Bisignano"
"385","Frank Blake"
"386","Frank W. Woolworth"
"387","Fred Ehrsam"
"388","Fred Laluyaux"
"389","Fred Reid"
"390","Fred Smith"
"391","Freda"
"392","Frederic Laluyaux"
"393","Frederic Oudea"
"394","Frederick Smith"
"395","Friedman"
"396","Fritz Henderson"
"397","From At"
"398","From Bloomberg"
"399","Fujio Mitarai"
"400","Gabelli"
"401","Galant"
"402","Garland"
"403","Gary Friedman"
"404","Gary Guthart"
"405","Gary Loveman"
"406","Geiger"
"407","Genaro Garcia"
"408","Gene Friedman"
"409","Gene McQuade"
"410","Geoffrey Brown"
"411","George Bell"
"412","George Bells"
"413","George Carris"
"414","George Halvorson"
"415","George Walker"
"416","George Zimmer"
"417","Gerald Hassel"
"418","Gerald Storch"
"419","German Gref"
"420","Giles Palmer"
"421","Gilt Alexander"
"422","Ginni  Rometty"
"423","Ginni Rometty"
"424","Ginni Romettya"
"425","Ginni Romettys"
"426","Ginny  Rometty"
"427","Ginny Rometty"
"428","Given Miller"
"429","Gives His"
"430","Glen F. Post"
"431","Glenn Murphy"
"432","Gracia Martore"
"433","Graham Weston"
"434","Greg Brown"
"435","Greg Foran"
"436","Greg Foster"
"437","Greg Gopman"
"438","Greg Johnson"
"439","Greg Stemm"
"440","Gregg  Steinhafel"
"441","Gregg Steinhafel"
"442","Gregg Steinhafela"
"443","Gregg Tanner"
"444","Guy Faure"
"445","Hakan Samuelsson"
"446","Hal Vogel"
"447","Hall"
"448","Hammergren"
"449","Hank Greenberg"
"450","Hans Petter Havdal"
"451","Harold Hamm"
"452","Has Died"
"453","Has Died In"
"454","Hastings"
"455","Hazy"
"456","Heads To"
"457","Heather Bresch"
"458","Hedayatullah Yahya"
"459","Helge Lund"
"460","Helped Beat"
"461","Henry Blodget"
"462","Henry Kravis"
"463","Herb Kelleher"
"464","Hesse"
"465","Hiroshi Tanaka"
"466","Howard Bain"
"467","Howard Levine"
"468","Howard Lutnick"
"469","Howard Schultz"
"470","Howard Schulz"
"471","Howard Shultz"
"472","Hubert Joly"
"473","Hughes"
"474","Ian Read"
"475","Ian Rogers"
"476","Ian Snow"
"477","Ian Taylor"
"478","Iger"
"479","Im Disappointed"
"480","Indicted In"
"481","Indra Nooyi"
"482","Inge Thulin"
"483","Interpublic Group"
"484","Is Getting"
"485","Is Out"
"486","Island Capital"
"487","J.J. Kinahan"
"488","J.K. Shin"
"489","Jack Calhoun"
"490","Jack Chubb"
"491","Jack Dorsey"
"492","Jack Koraleski"
"493","Jack Ma"
"494","Jack McCabe"
"495","Jack Plunkett"
"496","Jack Welch"
"497","Jacky Naegelen"
"498","Jacobs"
"499","Jacques Brand"
"500","Jae"
"501","Jaime Dimon"
"502","James Debney"
"503","James Dinan"
"504","James Dinans"
"505","James Gorman"
"506","James Gormans"
"507","James Holbrook"
"508","James Mitarotonda"
"509","James P. Gorman"
"510","Jamie Dimon"
"511","Jamie Dimona"
"512","Jamie Dimons"
"513","Jamie Sokalsky"
"514","Jan Hatzius"
"515","Jan Koum"
"516","Jana Shoulders"
"517","Jane Mendillo"
"518","Janet Yellen"
"519","Jason Cheng"
"520","Jason Goldberg"
"521","Javier Romero"
"522","Jay Jacobs"
"523","Jayshree Ullal"
"524","Jean-Laurent Bonnafe"
"525","Jeanie Wyat"
"526","Jeff  Bezos"
"527","Jeff Berwick"
"528","Jeff Bewkes"
"529","Jeff Bezos"
"530","Jeff Bezoss"
"531","Jeff Boyd"
"532","Jeff Gundlach"
"533","Jeff Imelt"
"534","Jeff Immelt"
"535","Jeff Joerres"
"536","Jeff Mezger"
"537","Jeff Skilling"
"538","Jeff Ubben"
"539","Jeff Zucker"
"540","Jeffery Ubben"
"541","Jeffrey Bewkes"
"542","Jeffrey Ettinger"
"543","Jeffrey Immelt"
"544","Jeffrey Katzenberg"
"545","Jeffrey Skilling"
"546","Jeffrey Soffer"
"547","Jenaro Garcia"
"548","Jenn Hyman"
"549","Jeremy Allaire"
"550","Jeremy Levin"
"551","Jeremy Liew"
"552","Jeremy Stoppelman"
"553","Jeremy Stoppelmann"
"554","Jerry Moyes"
"555","Jerry Yang"
"556","Jesse Vollmar"
"557","Jessica Rinaldi"
"558","Jim Angleton"
"559","Jim Atchison"
"560","Jim Cowles"
"561","Jim Donald"
"562","Jim Hagemann"
"563","Jim Mc"
"564","Jim McNerney"
"565","Jim Paulsen"
"566","Jimmy Cayne"
"567","Jimmy Caynea"
"568","JK Shin"
"569","Joe Kennedy"
"570","Joe Magnacca"
"571","Joe Ratterman"
"572","Joe Tucci"
"573","Joel Horowitz"
"574","John  Gutfreund"
"575","John Alexander"
"576","John B. Veihmeyer"
"577","John Bilbrey"
"578","John Borghetti"
"579","John Boyd"
"580","John Bryant"
"581","John Byrant"
"582","John Chambers"
"583","John Chambersa"
"584","John Chen"
"585","John Currie"
"586","John De"
"587","John Delaney"
"588","John Donahoe"
"589","John Donahoea"
"590","John Donahoee"
"591","John Foraker"
"592","John Goodman"
"593","John Gutfreund"
"594","John Hall"
"595","John Hourican"
"596","John Idol"
"597","John Legere"
"598","John Mack"
"599","John Mackey"
"600","John Mackeys"
"601","John Martin"
"602","John Mc"
"603","John McCarvel"
"604","John Melloy"
"605","John Mulligan"
"606","John Mulligana"
"607","John Paulson"
"608","John Rishton"
"609","John S. Chen"
"610","John Sculley"
"611","John Scully"
"612","John Silvia"
"613","John Standley"
"614","John Stump"
"615","John Stumpf"
"616","John Stumpfs"
"617","John T. Chambers"
"618","John Thain"
"619","John Wren"
"620","John Zabusky"
"621","John Zimmer"
"622","Joly"
"623","Jon Corzine"
"624","Jon Corzines"
"625","Jon Kingsdale"
"626","Jon Oringer"
"627","Jon Patrick"
"628","Jon Stein"
"629","Jon Thain"
"630","Jonathan Browning"
"631","Jonathan Bush"
"632","Jonathan Ernst"
"633","Jonathan Lu"
"634","Jonathan Miller"
"635","Jonathan Oringer"
"636","Jonathan Zabusky"
"637","Jonathanë_Golub"
"638","Jonnie Williams"
"639","Jordan Kelley"
"640","Jorge Piedrahita"
"641","Jorge Piedrahitaa"
"642","Jose Honorio"
"643","Joseph Ackermann"
